advertiser,election,topic,spend_week,spend_month,spend
PROGRESS NOW,PRES,Abortion,2024_10/29-11/03,2024_11,2.5
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/08-10/21,2024_10,1780.224697
RBG PAC,PRES,Abortion,2024_11/05-11/11,2024_11,743273.6131
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_11/05-11/11,2024_11,14.16020094
WON'T PAC DOWN,PRES,Abortion,2024_10/29-11/11,2024_11,15543.595
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/01-10/07,2024_10,2.5
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/29-11/04,2024_10,2.5
AB PAC,PRES,Abortion,2024_10/22-11/04,2024_10,26641.31747
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/08-10/13,2024_10,424.7906731
DAN NEWLIN,PRES,Immigration,2024_10/29-11/04,2024_10,2992.04697
FORWARD BLUE,PRES,Economy & Labor,2024_10/29-11/04,2024_11,4556.231103
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/07,2024_10,14178.61446
JOE BIDEN PRESIDENT,PRES,Abortion,2024_10/22-11/04,2024_10,22.70479672
KAMALA HARRIS PRESIDENT,PRES,Economy & Labor,2024_10/22-10/28,2024_10,3040496.439
LINCOLN PROJECT,PRES,Abortion,2024_10/22-10/28,2024_10,273.8953106
LINCOLN PROJECT,PRES,Abortion,2024_10/22-10/27,2024_10,59.790805
PRIORITIES USA & BLACK PAC,PRES,Abortion,2024_10/22-10/27,2024_10,28507.32592
PROTECT US FAMILIES,PRES,Climate & Energy,2024_10/08-10/14,2024_10,2.5
RESTORATION PAC,PRES,Immigration,2024_11/05-11/11,2024_11,2616.297055
RIGHT FOR AMERICA,PRES,Climate & Energy,2024_10/22-11/04,2024_10,889.9963194
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/22-10/28,2024_10,32891.85022
RNC,PRES,Immigration,2024_10/22-11/04,2024_10,245.8310331
RNC,PRES,Economy & Labor,2024_10/01-10/07,2024_10,3018.881528
WISCO PROJECT,PRES,Immigration,2024_10/15-10/21,2024_10,7.2915
DEAN PHILLIPS PRESIDENT,PRES,Economy & Labor,2024_10/29-11/04,2024_11,2.5
PEOPLE POWER PA,PRES,Abortion,2024_11/05-11/11,2024_11,4.999895
UA,PRES,Economy & Labor,2024_10/29-11/11,2024_11,2.5
MILLIONS OF MI,PRES,Climate & Energy,2024_10/22-11/04,2024_10,358.124
PROGRESS NOW,PRES,Abortion,2024_10/01-10/07,2024_10,3.1249
AB PAC,PRES,Abortion,2024_10/22-10/27,2024_10,29505.83212
FUTURE FORWARD,PRES,Economy & Labor,2024_10/29-11/04,2024_11,5105554.84
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/04,2024_10,40.60872109
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/08-10/14,2024_10,2812.742501
LINCOLN PROJECT,PRES,Abortion,2024_10/01-10/07,2024_10,609.934285
MAJORITY PAC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,282569.0246
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/22-11/04,2024_10,26012.24229
PRESERVE AMERICA PAC,PRES,Immigration,2024_10/15-10/21,2024_10,125419.6616
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_10/29-11/03,2024_11,5949.844415
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/29-11/04,2024_10,30095.52993
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/29-11/04,2024_11,
RESTORATION PAC,PRES,Economy & Labor,2024_10/08-10/14,2024_10,428378.7665
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/15-10/20,2024_10,26736.89469
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/15-10/28,2024_10,23909.40915
SEIU,PRES,Economy & Labor,2024_11/05-11/11,2024_11,1080.830982
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/29-11/11,2024_11,2.4999975
STAND FOR AMERICA,PRES,Economy & Labor,2024_10/29-11/11,2024_11,5.624903125
PASS THE TORCH,PRES,Abortion,2024_10/29-11/03,2024_11,10.20500422
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/29-11/04,2024_11,360.6213956
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/01-10/06,2024_10,23867.09585
EVERYTOWN FOR GUN SAFETY,PRES,Abortion,2024_10/01-10/06,2024_10,3.5714
FUTURE FORWARD,PRES,Abortion,2024_10/01-10/06,2024_10,202185.0436
FUTURE FORWARD & EDF,PRES,Economy & Labor,2024_10/29-11/04,2024_10,30285.50373
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/01-10/14,2024_10,16637.68668
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/03,2024_11,71437.51982
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Economy & Labor,2024_11/05-11/11,2024_11,188158.3505
FUTURE FORWARD & SEIU,PRES,Economy & Labor,2024_11/05-11/11,2024_11,82067.05565
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/01-10/14,2024_10,18793.63754
KAMALA HARRIS PRESIDENT,PRES,Economy & Labor,2024_10/22-10/27,2024_10,261972.8141
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/22-10/28,2024_10,79133.56016
LIUNA,PRES,Economy & Labor,2024_11/05-11/11,2024_11,29606.06565
LIUNA,PRES,Economy & Labor,2024_10/22-11/04,2024_10,11507.68203
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/22-10/27,2024_10,105743.5928
MILLIONS OF MI,PRES,Climate & Energy,2024_10/22-10/28,2024_10,1383.1197
NIKKI HALEY PRESIDENT,PRES,Economy & Labor,2024_10/22-10/28,2024_10,32.28501156
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/15-10/21,2024_10,7228.459409
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/29-11/04,2024_10,21878.52331
RIGHT FOR AMERICA,PRES,Immigration,2024_11/05-11/11,2024_11,68.74939
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/29-11/11,2024_11,143.7488
PRIORITIES USA,PRES,Abortion,2024_10/22-11/04,2024_10,2.5
UA,PRES,Economy & Labor,2024_11/05-11/11,2024_11,7.5
AB PAC,PRES,Abortion,2024_10/01-10/06,2024_10,96146.21364
CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/14,2024_10,5
CLIMATE POWER,PRES,Climate & Energy,2024_10/22-10/28,2024_10,285.1645157
DAN NEWLIN,PRES,Immigration,2024_10/22-11/04,2024_10,1529.788447
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/14,2024_10,37458.53159
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/04,2024_11,15.20490172
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_10/29-11/03,2024_11,40840.19582
FUTURE FORWARD & SOMOS,PRES,Immigration,2024_10/08-10/13,2024_10,3.1249
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_11/05-11/11,2024_11,86.35841515
JOE BIDEN PRESIDENT,PRES,Abortion,2024_10/22-10/28,2024_10,111.2457761
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/15-10/28,2024_10,94269.78435
PASS THE TORCH,PRES,Abortion,2024_10/01-10/07,2024_10,26.86835083
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/01-10/14,2024_10,358.4509938
RESTORATION PAC,PRES,Immigration,2024_10/01-10/14,2024_10,32699.80111
RNC,PRES,Economy & Labor,2024_10/08-10/21,2024_10,206.4562025
PEOPLE POWER PA,PRES,Abortion,2024_10/15-10/28,2024_10,2.5
RON DESANTIS PRESIDENT,PRES,Immigration,2024_10/08-10/21,2024_10,2.5
AB PAC,PRES,Abortion,2024_10/15-10/20,2024_10,47764.4289
DAN NEWLIN,PRES,Abortion,2024_10/29-11/04,2024_10,1680.945956
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/29-11/04,2024_11,69357.14146
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/08-10/21,2024_10,60484.85819
FUTURE FORWARD,PRES,Economy & Labor,2024_10/22-10/28,2024_10,9119733.309
JOE BIDEN PRESIDENT,PRES,Abortion,2024_10/08-10/14,2024_10,168.8842574
KAMALA HARRIS PRESIDENT,PRES,Economy & Labor,2024_10/22-11/04,2024_10,306716.2744
LCV,PRES,Climate & Energy,2024_10/29-11/04,2024_10,261132.0243
MAKE AMERICA GREAT AGAIN,PRES,Immigration,2024_10/08-10/21,2024_10,25100.85891
NATL NURSES UNITED,PRES,Abortion,2024_11/05-11/11,2024_11,21362.24459
PRIORITIES USA & BLACK PAC,PRES,Economy & Labor,2024_10/22-10/28,2024_10,16295.04736
PRIORITIES USA & SOMOS,PRES,Immigration,2024_10/22-10/28,2024_10,48325.66989
RIGHT FOR AMERICA,PRES,Economy & Labor,2024_10/29-11/11,2024_11,150431.3961
RSLC,PRES,Immigration,2024_10/01-10/14,2024_10,10147.49433
WON'T PAC DOWN,PRES,Abortion,2024_10/29-11/04,2024_11,70763.58385
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/15-10/20,2024_10,21.2499
DAN NEWLIN,PRES,Immigration,2024_10/15-10/21,2024_10,3244.989359
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_11/05-11/11,2024_11,12842.21715
FORWARD BLUE,PRES,Education,2024_10/29-11/04,2024_11,9517.538047
FUTURE FORWARD,PRES,Climate & Energy,2024_10/29-11/04,2024_10,2.4999975
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/04,2024_10,159069.5279
JOE BIDEN PRESIDENT,PRES,Abortion,2024_11/05-11/11,2024_11,26.6663025
MAKE AMERICA GREAT AGAIN,PRES,Climate & Energy,2024_10/01-10/14,2024_10,1368.119748
PLANNED PARENTHOOD,PRES,Abortion,2024_10/29-11/03,2024_11,22.291405
PRIORITIES USA & SOMOS,PRES,Immigration,2024_10/15-10/28,2024_10,15050.80262
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/22-10/27,2024_10,388.9751233
RESTORATION PAC,PRES,Immigration,2024_10/08-10/13,2024_10,49219.97711
RESTORATION PAC,PRES,Economy & Labor,2024_10/08-10/13,2024_10,111383.5046
UNITE THE COUNTRY,PRES,Abortion,2024_10/22-10/28,2024_10,16.6666
BEST OF AMERICA,PRES,Economy & Labor,2024_10/15-10/21,2024_10,10.41005333
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/01-10/06,2024_10,7.0833025
FUTURE FORWARD & SOMOS,PRES,Immigration,2024_10/15-10/20,2024_10,2.5
WISCO PROJECT,PRES,Immigration,2024_10/01-10/06,2024_10,2.0833
AMERICA PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_10,120258.1742
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/29-11/04,2024_11,128572.4983
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/29-11/04,2024_10,195233.1558
ONE FOR ALL COMMITTEE,PRES,Abortion,2024_10/29-11/04,2024_10,100850.7918
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/22-10/27,2024_10,25245.3983
PRIORITIES USA,PRES,Economy & Labor,2024_10/08-10/14,2024_10,37105.44774
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_11/05-11/11,2024_11,9832.183236
RIGHT FOR AMERICA,PRES,Immigration,2024_10/29-11/04,2024_10,42262.70915
RSLC,PRES,Immigration,2024_10/08-10/14,2024_10,25984.9816
DNC,PRES,Abortion,2024_10/29-11/03,2024_11,2.5
PEOPLE POWER PA,PRES,Economy & Labor,2024_10/08-10/13,2024_10,15.1188025
DNC,PRES,Abortion,2024_10/22-10/27,2024_10,2.5
CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/21,2024_10,5
MAJORITY PAC,PRES,Economy & Labor,2024_10/22-11/04,2024_10,7.5
DAN NEWLIN,PRES,Abortion,2024_10/08-10/14,2024_10,531.1571131
DAN NEWLIN,PRES,Immigration,2024_10/08-10/14,2024_10,3182.281237
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/15-10/28,2024_10,8766.448962
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/08-10/13,2024_10,21886.55979
FUTURE FORWARD & SEIU,PRES,Economy & Labor,2024_10/29-11/03,2024_11,248557.0291
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/22-11/04,2024_10,24.3746
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_11/05-11/11,2024_11,46.8746025
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/22-10/28,2024_10,100099.4733
PROJECT FREEDOM,PRES,Abortion,2024_10/08-10/14,2024_10,62567.81101
RESTORATION PAC,PRES,Economy & Labor,2024_10/29-11/04,2024_11,93585.47489
SEIU,PRES,Abortion,2024_10/15-10/28,2024_10,7554.993156
TRUST IN THE MISSION PAC,PRES,Immigration,2024_10/29-11/04,2024_11,4.1666
BEST OF AMERICA,PRES,Economy & Labor,2024_10/01-10/07,2024_10,4.9106
RON DESANTIS PRESIDENT,PRES,Immigration,2024_10/08-10/13,2024_10,2.5
EMILY'S LIST / WOMEN VOTE,PRES,Abortion,2024_10/22-10/28,2024_10,2.5
RYAN BINKLEY PRESIDENT,PRES,Immigration,2024_10/29-11/04,2024_10,2.5
AB PAC,PRES,Abortion,2024_11/05-11/11,2024_11,30928.65057
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/29-11/04,2024_10,453170.8482
FUTURE FORWARD,PRES,Abortion,2024_10/15-10/20,2024_10,132955.2182
FUTURE FORWARD & CLIMATE POWER,PRES,Economy & Labor,2024_10/15-10/28,2024_10,43.54099
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/15-10/28,2024_10,176.3084906
JOE BIDEN PRESIDENT,PRES,Economy & Labor,2024_10/29-11/03,2024_11,69.99901
KAMALA HARRIS PRESIDENT,PRES,Immigration,2024_10/22-10/27,2024_10,1182.822898
LINCOLN PROJECT,PRES,Abortion,2024_10/29-11/04,2024_11,147.4055011
LIUNA,PRES,Economy & Labor,2024_10/15-10/28,2024_10,11728.51103
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/29-11/03,2024_11,166658.9061
NATL NURSES UNITED,PRES,Abortion,2024_10/22-10/27,2024_10,53449.37783
ONE FOR ALL COMMITTEE,PRES,Economy & Labor,2024_10/15-10/28,2024_10,12758.28723
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/15-10/28,2024_10,11106.86568
PRIORITIES USA & OUR VOICE OUR VOTE AZ,PRES,Economy & Labor,2024_10/08-10/21,2024_10,326.8739944
RBG PAC,PRES,Abortion,2024_10/22-10/28,2024_10,109666.601
RESTORATION PAC,PRES,Economy & Labor,2024_11/05-11/11,2024_11,4925.16084
RNC,PRES,Economy & Labor,2024_10/01-10/14,2024_10,241.3964106
UA,PRES,Economy & Labor,2024_10/29-11/04,2024_10,274.3733
LIUNA,PRES,Economy & Labor,2024_10/01-10/06,2024_10,3286.24064
RANDALL TERRY PRESIDENT,PRES,Abortion,2024_10/01-10/07,2024_10,13.1248
DEAN PHILLIPS PRESIDENT,PRES,Economy & Labor,2024_11/05-11/11,2024_11,4.9999025
CLIMATE POWER,PRES,Climate & Energy,2024_10/01-10/14,2024_10,9240.405108
CONSTITUTIONAL RIGHT,PRES,Immigration,2024_10/22-10/27,2024_10,64.79070938
DONALD TRUMP PRESIDENT,PRES,Economy & Labor,2024_10/22-10/28,2024_10,42470.54563
DONALD TRUMP PRESIDENT,PRES,Climate & Energy,2024_10/08-10/14,2024_10,220441.2429
FUTURE FORWARD,PRES,Climate & Energy,2024_10/01-10/14,2024_10,1.7857
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/01-10/14,2024_10,456.6925112
FUTURE FORWARD & REPRODUCTIVE FREEDOM FOR ALL,PRES,Economy & Labor,2024_10/29-11/04,2024_10,243488.4181
MAJORITY PAC,PRES,Economy & Labor,2024_10/22-10/27,2024_10,4.9999975
MAKE AMERICA GREAT AGAIN,PRES,Economy & Labor,2024_10/15-10/21,2024_10,203083.7947
POWER TO THE POLLS,PRES,Abortion,2024_10/29-11/11,2024_11,4199.907603
RBG PAC,PRES,Abortion,2024_10/29-11/04,2024_11,2757271.673
RESTORATION PAC,PRES,Immigration,2024_10/08-10/21,2024_10,38293.25428
RESTORATION PAC,PRES,Immigration,2024_10/15-10/28,2024_10,37599.83144
RIGHT FOR AMERICA,PRES,Climate & Energy,2024_10/29-11/03,2024_11,
LOCAL VOICES,PRES,Economy & Labor,2024_10/29-11/11,2024_11,
REPRODUCTIVE FREEDOM FOR ALL,PRES,Abortion,2024_10/01-10/14,2024_10,4.9999025
SECURING AMERICAN GREATNESS,PRES,Economy & Labor,2024_10/22-11/04,2024_10,19.51730094
TELL IT LIKE IT IS PAC,PRES,Economy & Labor,2024_10/01-10/14,2024_10,2.5
DNC,PRES,Abortion,2024_10/01-10/06,2024_10,2.5
RYAN BINKLEY PRESIDENT,PRES,Immigration,2024_10/01-10/14,2024_10,2.080104218
CLIMATE POWER,PRES,Climate & Energy,2024_10/01-10/07,2024_10,41772.49772
CONSERVATIVES FOR EFFECTIVE GOVT,PRES,Economy & Labor,2024_10/29-11/04,2024_11,4.999995
DAN NEWLIN,PRES,Immigration,2024_10/01-10/07,2024_10,2737.432013
DONALD TRUMP PRESIDENT,PRES,Immigration,2024_10/22-10/28,2024_10,2255594.889
FUTURE FORWARD,PRES,Economy & Labor,2024_10/01-10/07,2024_10,4961117.614
FUTURE FORWARD & EMILY'S LIST,PRES,Abortion,2024_10/08-10/21,2024_10,90873.30256
FUTURE FORWARD & LCV & CLIMATE POWER,PRES,Economy & Labor,2024_10/08-10/13,2024_10,10776.82966
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/15-10/21,2024_10,10315.4117
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/08-10/14,2024_10,23834.9929
AK BEFORE PARTY,AK-01,Abortion,2024_10/29-11/04,2024_10,4198.9536
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/08-10/21,2024_10,23143.12102
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/29-11/11,2024_11,14509.37268
WILL ROLLINS CONGRESS,CA-41,Immigration,2024_11/05-11/11,2024_11,1791.2476
AK BEFORE PARTY,AK-01,Climate & Energy,2024_10/08-10/13,2024_10,37.4999
DCCC,CA-41,Abortion,2024_10/15-10/28,2024_10,1578.746558
AK BEFORE PARTY,AK-01,Abortion,2024_10/29-11/11,2024_11,1932.2902
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/01-10/14,2024_10,28235.4142
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/29-11/03,2024_11,24702.079
WIN IT BACK,AK-01,Climate & Energy,2024_10/29-11/04,2024_11,91.6653
AMERICAN ACTION NETWORK,AK-01,Immigration,2024_10/15-10/21,2024_10,4.1666
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/29-11/04,2024_10,72132.2788
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/15-10/21,2024_10,32222.7026
NRCC,OH-09,Immigration,2024_10/15-10/21,2024_10,22487.48375
NRCC,CA-41,Economy & Labor,2024_10/01-10/07,2024_10,9386.2349
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/01-10/07,2024_10,127343.084
LCV,CA-45,Economy & Labor,2024_10/15-10/28,2024_10,7158.5402
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/08-10/13,2024_10,14519.7892
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/29-11/04,2024_11,37.4999
MICHELLE STEEL CONGRESS,CA-45,Abortion,2024_10/22-10/27,2024_10,2.4999025
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/15-10/21,2024_10,157163.523
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_10/29-11/04,2024_10,58806.23563
DCCC,OH-09,Abortion,2024_10/01-10/06,2024_10,20035.61844
FAIRSHAKE,AK-01,Abortion,2024_10/15-10/21,2024_10,194.7911
MARCY KAPTUR CONGRESS,OH-09,Abortion,2024_10/01-10/07,2024_10,2135.618612
AFSCME,OH-09,Economy & Labor,2024_10/08-10/14,2024_10,5181.873817
EDW ACTION,AK-01,Economy & Labor,2024_10/22-10/28,2024_10,16521.8708
FAIRSHAKE,AK-01,Abortion,2024_10/22-10/27,2024_10,8.3333
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/08-10/13,2024_10,32992.7043
CONGRESSIONAL LEADERSHIP FUND,AK-01,Immigration,2024_10/08-10/21,2024_10,34616.6629
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_11/05-11/11,2024_11,5377.495018
DCCC,CA-41,Abortion,2024_10/08-10/14,2024_10,12097.04919
FAIRSHAKE,AK-01,Abortion,2024_10/01-10/14,2024_10,16.6665
AFP ACTION,CA-45,Economy & Labor,2024_10/15-10/28,2024_10,4.999805
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/01-10/06,2024_10,554.1659
DEREK TRAN CONGRESS,CA-45,Abortion,2024_10/29-11/11,2024_11,49.99795
LCV,CA-45,Economy & Labor,2024_11/05-11/11,2024_11,2583.7489
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/29-11/11,2024_11,3611.4555
DCCC,OH-09,Economy & Labor,2024_11/05-11/11,2024_11,296.2491025
FAIRSHAKE,AK-01,Abortion,2024_10/22-11/04,2024_10,4.1666
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/29-11/04,2024_10,26183.74233
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/22-10/28,2024_10,28379.3584
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/15-10/21,2024_10,19.9998
AMERICAN ACTION NETWORK,OH-09,Immigration,2024_10/08-10/14,2024_10,2.5
NRCC,CA-41,Economy & Labor,2024_10/29-11/04,2024_11,554.3734075
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/01-10/06,2024_10,8651.0377
NRCC,OH-09,Economy & Labor,2024_10/22-10/27,2024_10,38.7494
MICHELLE STEEL CONGRESS,CA-45,Economy & Labor,2024_10/15-10/28,2024_10,6208.9575
NRCC,OH-09,Economy & Labor,2024_10/01-10/07,2024_10,39714.97878
SANFORD BISHOP CONGRESS,GA-02,Economy & Labor,2024_10/15-10/20,2024_10,2406.8727
CONGRESSIONAL LEADERSHIP FUND,OH-09,Immigration,2024_11/05-11/11,2024_11,5814.372732
LCV,CA-45,Economy & Labor,2024_10/29-11/11,2024_11,4202.4991
MARCY KAPTUR CONGRESS,OH-09,Immigration,2024_10/15-10/21,2024_10,14.9999
AMERICANS 4 SECURITY INC,CA-41,Economy & Labor,2024_10/15-10/20,2024_10,1030.2074
NRDC,CA-41,Climate & Energy,2024_10/29-11/03,2024_11,15716.2484
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_10/22-10/27,2024_10,8.3333
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_11/05-11/11,2024_11,4843.7481
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/29-11/04,2024_11,18551.0366
AFP ACTION,CA-45,Economy & Labor,2024_10/15-10/21,2024_10,24.99882501
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/22-11/04,2024_10,20324.9932
VOTEVETS,CA-45,Abortion,2024_10/15-10/21,2024_10,11924.154
WIN IT BACK,AK-01,Climate & Energy,2024_10/08-10/21,2024_10,347.9159
AK BEFORE PARTY,AK-01,Abortion,2024_10/08-10/21,2024_10,2073.957
WIN IT BACK,OH-09,Immigration,2024_10/15-10/20,2024_10,233.749505
WIN IT BACK,OH-09,Immigration,2024_10/08-10/13,2024_10,328.1244025
DCCC,OH-09,Economy & Labor,2024_10/22-11/04,2024_10,9368.120227
MARY PELTOLA CONGRESS,AK-01,Abortion,2024_10/22-10/27,2024_10,40.6249
NRCC,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,32426.4522
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/01-10/14,2024_10,17542.0753
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/29-11/04,2024_10,112531.8387
FAIRSHAKE,AK-01,Abortion,2024_10/15-10/20,2024_10,8.3333
HOUSE MAJORITY PAC,CA-41,Economy & Labor,2024_10/22-10/27,2024_10,12209.99316
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/22-10/28,2024_10,7.5
MARY PELTOLA CONGRESS,AK-01,Climate & Energy,2024_11/05-11/11,2024_11,7.2915
AK BEFORE PARTY,AK-01,Economy & Labor,2024_10/08-10/21,2024_10,10184.3721
MARCY KAPTUR CONGRESS,OH-09,Education,2024_10/01-10/06,2024_10,9.9998
NRCC,AK-01,Immigration,2024_10/29-11/03,2024_11,387.4988
DCCC,CA-41,Abortion,2024_10/01-10/14,2024_10,3098.114528
AK BEFORE PARTY,AK-01,Abortion,2024_11/05-11/11,2024_11,896.874
DCCC,CA-41,Abortion,2024_10/15-10/20,2024_10,684.99892
LCV,CA-45,Economy & Labor,2024_10/29-11/04,2024_10,23192.0789
AFP ACTION,OH-09,Economy & Labor,2024_10/01-10/14,2024_10,2492.497887
AK JOBS COALITION,AK-01,Economy & Labor,2024_10/08-10/14,2024_10,4.1666
MARY PELTOLA CONGRESS,AK-01,Economy & Labor,2024_10/01-10/14,2024_10,4812.4974
WIN IT BACK,OH-09,Immigration,2024_10/29-11/11,2024_11,264.9998
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_11/05-11/11,2024_11,20
CONGRESSIONAL LEADERSHIP FUND,AK-01,Economy & Labor,2024_10/08-10/21,2024_10,9428.1229
NRCC,OH-09,Immigration,2024_10/15-10/20,2024_10,6301.87145
NRCC,AK-01,Economy & Labor,2024_10/15-10/20,2024_10,20293.7473
HOUSE MAJORITY PAC,OH-09,Economy & Labor,2024_10/08-10/13,2024_10,1371.24861
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/22-10/28,2024_10,96499.12568
LCV,CA-45,Economy & Labor,2024_10/29-11/04,2024_11,12058.1226
WIN IT BACK,OH-09,Immigration,2024_10/01-10/06,2024_10,4366.873203
KEN CALVERT CONGRESS,CA-41,Economy & Labor,2024_10/22-10/27,2024_10,17675.19404
WAYNE JOHNSON CONGRESS,GA-02,Economy & Labor,2024_10/29-11/04,2024_10,2.0833
AFP ACTION,CA-45,Economy & Labor,2024_10/08-10/14,2024_10,160.6191375
CONGRESSIONAL LEADERSHIP FUND,CA-41,Economy & Labor,2024_10/01-10/06,2024_10,5691.4555
MARCY KAPTUR CONGRESS,OH-09,Economy & Labor,2024_10/29-11/04,2024_11,22.4999
WILL ROLLINS CONGRESS,CA-41,Economy & Labor,2024_10/29-11/11,2024_11,17721.03088
CLUB FOR GROWTH,AK-01,Economy & Labor,2024_10/29-11/03,2024_11,7820.8308
VOTEVETS,CA-45,Abortion,2024_10/15-10/28,2024_10,8208.9552
